en_name,img_link,category_name,company,effective_material,price,usage,ar_name
Spasmo amrase 20 e.c. tab,https://dwaprices.com/upload/1634903885.jpg,ادوية القولون,Amriya,"pancreatin,papain,ox-bile extract,dimethicone,mebeverine",18,"
انزيمات هاضمة لعلاج مشاكل وعسر الهضم
, مضاد لمغص القولون وتقلصات الجهاز الهضمي
, علاج اضطرابات القولون وتهيجه.
,  اضطرابات الجهاز الهضمي.
, التهاب الأمعاء والقولون الحاد.
, متلازمة القولون العصبي.- القرحة الهضمية.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",سبازمو امريز 20 قرص  20  
Librax 30 sugar coated tab,https://dwaprices.com/upload/1634903307.jpg,ادوية القولون,Eipico > icn-puerto rico,"chlordiazepoxide,clidinium bromide",19.5,"
علاج اضطرابات القولون وتهيجه.
,  اضطرابات الجهاز الهضمي.
, التهاب الأمعاء والقولون الحاد.
, متلازمة القولون العصبي.- القرحة الهضمية.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",ليبراكس 30 قرص 30   
Spasmodigestin 30 tab,https://dwaprices.com/upload/1634902709.jpg,ادوية القولون,Pharco,"dicyclomine,papain,sanzyme 3500,simethicone,sodium dehydrocholate",37.5,"
انزيمات هاضمة ومضاد للتقلصات والام القولون
, علاج اضطرابات القولون وتهيجه.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",سبازموديجستين 30 قرص  30 
Colona 30 f.c.tab,https://dwaprices.com/upload/1634902173.jpg,ادوية القولون,Rameda,"mebeverine,sulpiride",39,"
علاج اضطرابات القولون وتهيجه.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",كولونا 30 قرص للقولون 30 
Colovatil 30 f.c. tabs,https://dwaprices.com/upload/1634902517.jpg,ادوية القولون,Mash premiere,"mebeverine,sulpiride",31.5,"
علاج اضطرابات القولون وتهيجه.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.
, حالات القولون العصبي.
, المغص والتقلصات بالمعدة والأمعاء.
, التهاب القولون وآلام الجهاز الهضمي.
, غازات وانتفاخات البطن.
, الإمساك المصاحب للقولون.
, تخفيف القلق والتوتر والحالة المزاجية.",كولوفاتيل 30 قرص 30  
Buscopan 10mg 20 sugar coated tab,https://dwaprices.com/upload/1634903633.jpg,ادوية القولون,Cid > boehringer ingelheim,hyoscin-n-butylbromid,23.5,"
علاج المغص والام البطن 
, حالات التقلصات المختلفة
,  اضطرابات الجهاز الهضمي.
, التهاب الأمعاء والقولون الحاد.
, متلازمة القولون العصبي.- القرحة الهضمية.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",بوسكوبان 10مجم 20 قرص 10 20   
Spasmo amrase 30 e.c. tab,https://dwaprices.com/upload/1634903885.jpg,ادوية القولون,Amriya,"pancreatin,papain,ox-bile extract,dimethicone,mebeverine",27,"
انزيمات هاضمة لعلاج مشاكل وعسر الهضم
, مضاد لمغص القولون وتقلصات الجهاز الهضمي
, علاج اضطرابات القولون وتهيجه.
,  اضطرابات الجهاز الهضمي.
, التهاب الأمعاء والقولون الحاد.
, متلازمة القولون العصبي.- القرحة الهضمية.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",سبازمو امريز 30 قرص  30  
Omnevora 8 i.m. amp. 2 ml,https://dwaprices.com/upload/1634416787.jpg,فيتامينات,Rameda,"folic acid,nicotinamide,orotic acid,panthenol,vitamin b1,vitamin b6,vitamin b12",72,"
فيتامين ب مركب لعلاج العديد من الحالات مثل آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",اومنيفورا 8 امبولات حقن عضل 2 مل 8   2 
Milga advance 30 f.c. tabs,https://dwaprices.com/upload/1429908566.jpg,فيتامينات,Eva pharma,"benfotiamine,cyanocobalamine,pyridoxine",78,"
منشط عام للجسم خاصة الذاكرة والتركيز.
, حالات الإرهاق العصبي المزمن.
, مسكن لآلام الأعصاب ومقوي للجهاز العصبي.
, بديل لحقن الأعصاب بنفس الفعالية.
, تكوين وتقوية كرات الدم الحمراء.
, حالات الأنيميا و الضعف العام وفقدان الطاقة.
, علاج التهاب الأعصاب خصوصا لمرضى السكر.
, دعم كفاءة وظائف الأعصاب.
, تعويض نقص فيتامين ب.
, حالات رعشة واهتزاز اليدين  ورفة العين.

فيتامين ب مركب - مقوي للأعصاب
, أهمية فيتامين ب المركب للجسم
, بنفوتيامين
هو أحد مشتقات الثيامين “فيتامين ب1” – “Thiamine” والذي يتميز بسرعة امتصاصه، وقدرته على تخفيف آلام الأعصاب الطرفية وتقويتها خاصة في مرضى السكري. كما أنه يلعب دوراً هاماً في تنظيم عمليات التمثيل الغذائي في الجسم.

, فيتامين ب6 “بيريدوكسين”
, ينشط تكوين كريات الدم الحمراء. 
, يساعد في تمثيل المواد الغذائية المختلفة مثل الأحماض الأمينية والكربوهيدرات والدهون. 
, يساعد المخ والجهاز العصبي على القيام بوظيفتهما الطبيعية.
, يدخل في العديد من الوظائف الحيوية بالجسم. 
, فيتامين ب12 “سيانوكوبالامين”
,فيتامين ب 12 من أهم الفيتامينات التي يحتاجها الجسم، وعندما يقل تركيزه في الدم يسبب حالة مرضية تسمى “الأنيميا الخبيثة”. ويتواجد فيتامين ب12 في الصيدلية كمادة مستقلة على هيئة حقن ممتدة المفعول مثل ديبوفيت وبيوفيت، وأقراص تحت اللسان مثل دلتافيت أقراص، وكبسولات مثل أورافيت كبسول، وحديثا تم إنتاجه على هيئة فيلم يوضع على اللسان وهو “ميثايلتكنو“.

, كما يتواجد فيتامين ب 12 في الكثير من المكملات وتركيبات الفيتامينات الخاصة بالأعصاب والمقوية بوجه عام وذلك لما له من فوائد هامة جداً للجسم حيث أنه:

, يساعد في تجديد خلايا الدم الحمراء.
,عامل أساسي لسلامة الجهاز العصبي.
,يساعد في عمليات التمثيل الغذائي.
,يساعد على تقوية جهاز المناعة.
,يزيد من قدرة الجسم على القيام بوظائفه عن طريق زيادة طاقته.

,دواعي استخدام ميلجا أدفانس

,يدعم وظيفة الجهاز العصبي
,يدعم كفاءة الأعصاب
,تعويض نقص فيتامين ب1 و ب6 وب 12

,الفرق بين ميلجا العادي وميلجا أدڨانس

,ميلجا أقراص العادية موجود في السوق المصري منذ فترة طويلة ويتميز باحتوائه على مادة بنفوتيامين وهو فيتامين ب 1 جيد الامتصاص، وهو ما يميز ميلجا عن باقي البدائل المتوفرة بالسوق، وتم رفع تركيز هذه المادة من 40 مجم في ميلجا العادي إلى 300 مجم في ميلجا أدڨانس ، كما تم رفع تركيز فيتامين ب 6 من 60 مجم إلى 100 مجم، والغرض من رفع التركيزات هو الوصول للاحتياج اليومي المطلوب من هذه المواد وجعلها بديل مناسب للأمبولات التي تعطى عن طريق الحقن.",ميلجا ادفانس 30 قرص  30  
Neurovit 30 sugar coated tab,https://dwaprices.com/upload/1635518649.jpg,فيتامينات,European egyptian pharm. ind.,"vitamin b1,vitamin b6,vitamin b12",37.5,"
فيتامين ب المركب , علاج التهاب الاعصاب الطرفية , حالات الارهاق والضعف
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.",نيوروفيت 30 قرص 30   
Deltavit b12 1mg 30 sublingual tab,https://dwaprices.com/upload/1667938000.jpg,فيتامينات,Delta pharma,cyanocobalamine,31,"
تنميل اليدين والقدمين , التهاب الاعصاب , مصدر للطاقة , حالات نقص فيتامين ب",دلتافيت ب12 اقراص 30 قرص 1مجم تحت اللسان 12 1 30  
Carogix 30 tabs,https://dwaprices.com/upload/1641996305.jpg,فيتامينات,Medcare > three one pharma,"selenium,zinc,biotin,folic acid,beta carotene,vitamin c,vitamin e",60,"
فيتامينات متعددة 
, حالات تساقط الشعر
, لزيادة نضارة البشرة
, لزيادة قدرة الجهاز المناعي
, مكافحة نزلات البرد والانفلونزا
, زيادة مقاومة الفيروسات",كاروجيكس 30 قرص 30 
Vinax 30 tab,https://dwaprices.com/upload/1674046808.jpg,فيتامينات,Pharma zad > octabiotic pharma,"iron,zinc,vitamin c,vitamin b",90,"
حديد وفيتامينات متعددة لعلاج الأنيميا",فيناكس 30 قرص 30 
Davalindi 1000 i.u. 100 tabs.,https://dwaprices.com/upload/1681993828.jpg,فيتامينات,Mup,cholecalciferol(vitamin d3),40,"
فيتامين دال , لعلاج مشاكل العظام ونقص فيتامين دال",دافاليندي 1000وحدة دولية 100 قرص 1000  100 
Sanso b complex 30 caps.,https://dwaprices.com/upload/254198133.jpg,فيتامينات,Aug pharma,"vitamin b12 biotin,vitamins(b1,b2,b6,b12),niacin,folic acid,biotin,pantothenic acid,choline,inositol",75,"
- فيتامينات متعددة 
فيتامين ب مركب",1سانسو بي كومبلكس 30 كبسولة   30 
Sideral folic 20 orodispersible sticks,https://dwaprices.com/upload/1674048285.jpg,فيتامينات,Pharmanutra spa>al esraa pharmaceutical optima,"iron,vitamin c,vitamin b6 ,folic acid,vitamin b12,vitamin d",120,"
فيتامينات متعددة , مصدر للطاقة , مصدر للحديد",1سيدرال فوليك 20 شرائح تذاب في الفم  20  
Mr. bear plus syrup 160 ml,https://dwaprices.com/upload/1643106470.jpg,فيتامينات,Aug pharma,"vitamins(A,D,E,C,B1,B6),Niacin,Pantothenic Acid,Iron",70,"
فيتامينات متعددة وحديد ,لعلاج الانيميا والضعف العام في الاطفال",مستر بير بلس شراب زجاجة 160 مل    160 
Devarol-s 200000 i.u ampoule,https://dwaprices.com/upload/1634507590.jpg,فيتامينات,Chemipharm > memphis,vitamin d,19,"
فيتامين دال",10 - ديفارول -اس 200000 وحدة دولية امبول- 200000  
Kerovit 15 soft gelatin caps.,https://dwaprices.com/upload/555555.JPG,فيتامينات,Amoun,vitamins,54,"
فيتامينات متعددة",20 - كيروفيت 15 كبسولة 15   
Cushion 10 sachets,https://dwaprices.com/upload/1674891989.jpg,فيتامينات,Copad > copad egypt,"collagen hydrolysate,boswellia serrata",130,"
فيتامينات",2كاشون 10 اكياس 10 
Mextra iron chelated by amino acids copper zinc 24 pieces,https://dwaprices.com/upload/261516943.png,فيتامينات,Med care > ibm pharma,"Iron chelated by amino acids,Copper,Zinc",40,"
مكمل غذائي للأنيميا وللحوامل",1ميكسترا 24 قطعة - حديد مطعم بالاحماض الامينية والنحاس والزنك        24 
Neuroton 30 tab,https://dwaprices.com/upload/1402206453.jpg,فيتامينات,Amoun,"folic acid,vitamin b1,vitamin b2,vitamin b6,vitamin b12",51,"
 آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",1نيوروتون 30 قرص 30 
