,category_name,company,effective_material,en_name,price,usage,ar_name
0,ادوية القولون,Amriya,"pancreatin,papain,ox-bile extract,dimethicone,mebeverine",Spasmo amrase 20 e.c. tab,18.0,"
انزيمات هاضمة لعلاج مشاكل وعسر الهضم
, مضاد لمغص القولون وتقلصات الجهاز الهضمي
, علاج اضطرابات القولون وتهيجه.
,  اضطرابات الجهاز الهضمي.
, التهاب الأمعاء والقولون الحاد.
, متلازمة القولون العصبي.- القرحة الهضمية.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",سبازمو امريز 20 قرص  20  
1,ادوية القولون,Eipico > icn-puerto rico,"chlordiazepoxide,clidinium bromide",Librax 30 sugar coated tab,19.5,"
علاج اضطرابات القولون وتهيجه.
,  اضطرابات الجهاز الهضمي.
, التهاب الأمعاء والقولون الحاد.
, متلازمة القولون العصبي.- القرحة الهضمية.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",ليبراكس 30 قرص 30   
2,ادوية القولون,Pharco,"dicyclomine,papain,sanzyme 3500,simethicone,sodium dehydrocholate",Spasmodigestin 30 tab,37.5,"
انزيمات هاضمة ومضاد للتقلصات والام القولون
, علاج اضطرابات القولون وتهيجه.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",سبازموديجستين 30 قرص  30 
3,ادوية القولون,Chemipharm,"mebeverine,dimethicone",Coloverin D 135mg 30 tab,51.0,"
انزيمات هاضمة ومضاد للتقلصات والام القولون
, علاج اضطرابات القولون وتهيجه.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",كولوفيرين د 135مجم 30 قرص  135 30 
4,ادوية القولون,Rameda,"mebeverine,sulpiride",Colona 30 f.c.tab,39.0,"
علاج اضطرابات القولون وتهيجه.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",كولونا 30 قرص للقولون 30 
5,ادوية القولون,Cid > boehringer ingelheim,hyoscin-n-butylbromid,Buscopan 10mg 20 sugar coated tab,23.5,"
علاج المغص والام البطن 
, حالات التقلصات المختلفة
,  اضطرابات الجهاز الهضمي.
, التهاب الأمعاء والقولون الحاد.
, متلازمة القولون العصبي.- القرحة الهضمية.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",بوسكوبان 10مجم 20 قرص 10 20   
6,ادوية القولون,Mash premiere,"mebeverine,sulpiride",Colovatil 30 f.c. tabs,31.5,"
علاج اضطرابات القولون وتهيجه.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.
, حالات القولون العصبي.
, المغص والتقلصات بالمعدة والأمعاء.
, التهاب القولون وآلام الجهاز الهضمي.
, غازات وانتفاخات البطن.
, الإمساك المصاحب للقولون.
, تخفيف القلق والتوتر والحالة المزاجية.",كولوفاتيل 30 قرص 30  
7,ادوية القولون,Amriya,"pancreatin,papain,ox-bile extract,dimethicone,mebeverine",Spasmo amrase 30 e.c. tab,27.0,"
انزيمات هاضمة لعلاج مشاكل وعسر الهضم
, مضاد لمغص القولون وتقلصات الجهاز الهضمي
, علاج اضطرابات القولون وتهيجه.
,  اضطرابات الجهاز الهضمي.
, التهاب الأمعاء والقولون الحاد.
, متلازمة القولون العصبي.- القرحة الهضمية.
, علاج آلام المعدة التي تنتج عن التقلصات.
, يعالج المغص الذي يحدث في القناة الهضمية والمرارة.",سبازمو امريز 30 قرص  30  
8,فيتامينات,Rameda,"folic acid,nicotinamide,orotic acid,panthenol,vitamin b1,vitamin b6,vitamin b12",Omnevora 8 i.m. amp. 2 ml,72.0,"
فيتامين ب مركب لعلاج العديد من الحالات مثل آلام العمود الفقري.
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.
, مهم لأصحاب الأمراض المزمنة كالسكري.",اومنيفورا 8 امبولات حقن عضل 2 مل 8   2 
9,فيتامينات,European egyptian pharm. ind.,"vitamin b1,vitamin b6,vitamin b12",Neurovit 30 sugar coated tab,37.5,"
فيتامين ب المركب , علاج التهاب الاعصاب الطرفية , حالات الارهاق والضعف
, حالات الضعف العام والخمول والارهاق.
, التهاب الأعصـاب الطرفية.
, علاج لحالات الأنيميا وفقر الدم.
, التهابات الفم وبعض أمراض الجلد.
, حالات الريجيم لتعويض نقص الفيتامينات.
, لتقوية عمل الجهاز العصبي.",نيوروفيت 30 قرص 30   
